Step,price,liquidity,iteration,scenario,region,coin
1,0.9886829262303004,2990058912117.796,160,S2_panic_selling_defi,indonesia,USDC
2,0.9669727023766684,2990058912117.796,160,S2_panic_selling_defi,indonesia,USDC
3,0.9503570806611045,2989880168784.8125,160,S2_panic_selling_defi,indonesia,USDC
4,0.9685632852132103,2988707663796.094,160,S2_panic_selling_defi,indonesia,USDC
5,0.9719477104553013,2988637294668.8564,160,S2_panic_selling_defi,indonesia,USDC
6,0.9687264570345738,2988637294668.8564,160,S2_panic_selling_defi,indonesia,USDC
7,0.9992538896046798,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
8,1.0170250844581288,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
9,1.024585007009933,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
10,1.0544425057288096,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
11,1.0629930100920808,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
12,1.0137886124437183,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
13,1.0295133834839856,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
14,1.0007872639860314,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
15,0.9968164274201751,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
16,1.0054270900897346,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
17,1.0129828081079935,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
18,0.9913136035141902,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
19,0.9910203139067082,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
20,0.9870585143909147,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
21,0.951777720420289,2988560385300.791,160,S2_panic_selling_defi,indonesia,USDC
22,0.9639573817566484,2987488982405.558,160,S2_panic_selling_defi,indonesia,USDC
23,0.9667415678158238,2987141585302.4897,160,S2_panic_selling_defi,indonesia,USDC
24,0.9729888521283904,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
25,1.0046866187317314,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
26,0.992698669342106,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
27,1.0044618211138197,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
28,1.0233457744122887,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
29,1.0228101479867087,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
30,1.0003004332103038,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
31,1.029733877939407,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
32,1.028673624603853,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
33,1.026729775708993,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
34,1.0010332378163116,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
35,0.9847145427564963,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
36,0.9677608251379994,2986978876490.1177,160,S2_panic_selling_defi,indonesia,USDC
37,0.9691701671600018,2986866507137.478,160,S2_panic_selling_defi,indonesia,USDC
38,0.9849756751490003,2986836362779.1772,160,S2_panic_selling_defi,indonesia,USDC
39,0.9762839232980401,2986836362779.1772,160,S2_panic_selling_defi,indonesia,USDC
40,0.9858034537651632,2986836362779.1772,160,S2_panic_selling_defi,indonesia,USDC
41,0.9823942362378077,2986836362779.1772,160,S2_panic_selling_defi,indonesia,USDC
42,0.951833719924641,2986836362779.1772,160,S2_panic_selling_defi,indonesia,USDC
43,0.9408565277760617,2985802293140.3794,160,S2_panic_selling_defi,indonesia,USDC
44,0.9596769460442435,2984163604459.5747,160,S2_panic_selling_defi,indonesia,USDC
45,0.9811753522312064,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
46,1.0231949706458474,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
47,1.0594172131969049,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
48,1.0457850647260443,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
49,1.0537340904617518,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
50,1.0317755630789494,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
51,1.0110335726692832,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
52,0.9977365705516574,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
53,0.9990372353495429,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
54,1.043964943791774,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
55,1.0410541702374583,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
56,1.0451380746551102,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
57,1.011779142372586,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
58,1.0245735934333495,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
59,1.0046749397104349,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
60,0.974508624744719,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
61,0.9682220902929811,2983600099400.6855,160,S2_panic_selling_defi,indonesia,USDC
62,0.9913630351846189,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
63,0.9959472534694662,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
64,1.0397035284893792,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
65,1.0408298271928043,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
66,1.048557945880486,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
67,1.0647995427504318,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
68,1.0885361185240843,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
69,1.0515166597796202,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
70,1.060624648683356,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
71,1.0489600822026885,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
72,1.0364801489561821,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
73,1.016479753332893,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
74,0.9962005271786293,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
75,0.9892752922030607,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
76,0.9970451056578008,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
77,1.0148117373823977,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
78,1.0221783401510753,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
79,1.044347098544359,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
80,1.0487890397275752,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
81,1.0478174674586795,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
82,1.03242826209419,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
83,1.0432780856613821,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
84,1.0428663430356562,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
85,1.0214772817752935,2983501963940.2773,160,S2_panic_selling_defi,indonesia,USDC
