Step,price,liquidity,iteration,scenario,region,coin
1,1.0204627775424508,2989107901191.5796,154,S2_panic_selling_defi,indonesia,USDC
2,0.9971601417676161,2989107901191.5796,154,S2_panic_selling_defi,indonesia,USDC
3,1.0011119772162658,2989107901191.5796,154,S2_panic_selling_defi,indonesia,USDC
4,0.9766323971617769,2989107901191.5796,154,S2_panic_selling_defi,indonesia,USDC
5,0.9604286617523116,2989107901191.5796,154,S2_panic_selling_defi,indonesia,USDC
6,0.9932351859258995,2988546456046.0376,154,S2_panic_selling_defi,indonesia,USDC
7,1.0029476537230317,2988546456046.0376,154,S2_panic_selling_defi,indonesia,USDC
8,0.9764585480790824,2988546456046.0376,154,S2_panic_selling_defi,indonesia,USDC
9,0.9516610935344063,2988546456046.0376,154,S2_panic_selling_defi,indonesia,USDC
10,0.9694422727425613,2987435291524.224,154,S2_panic_selling_defi,indonesia,USDC
11,0.9566258280178347,2987425743667.3706,154,S2_panic_selling_defi,indonesia,USDC
12,0.9978312637357655,2986633187751.144,154,S2_panic_selling_defi,indonesia,USDC
13,1.0046903442268849,2986633187751.144,154,S2_panic_selling_defi,indonesia,USDC
14,0.9649326308428811,2986633187751.144,154,S2_panic_selling_defi,indonesia,USDC
15,0.9689782198681248,2986360833711.195,154,S2_panic_selling_defi,indonesia,USDC
16,0.9694969605931939,2986300524526.72,154,S2_panic_selling_defi,indonesia,USDC
17,0.958579784607707,2986279255666.322,154,S2_panic_selling_defi,indonesia,USDC
18,0.9830955825698668,2985640836692.586,154,S2_panic_selling_defi,indonesia,USDC
19,0.9531284766377139,2985640836692.586,154,S2_panic_selling_defi,indonesia,USDC
20,0.9892994130389661,2984697154498.739,154,S2_panic_selling_defi,indonesia,USDC
21,0.965502035979624,2984697154498.739,154,S2_panic_selling_defi,indonesia,USDC
22,0.9680013076806646,2984458943260.158,154,S2_panic_selling_defi,indonesia,USDC
23,0.9831147984258557,2984372458263.2324,154,S2_panic_selling_defi,indonesia,USDC
24,0.9597390199451811,2984372458263.2324,154,S2_panic_selling_defi,indonesia,USDC
25,0.9763531709954023,2983787851543.799,154,S2_panic_selling_defi,indonesia,USDC
26,0.9191785452782256,2983787851543.799,154,S2_panic_selling_defi,indonesia,USDC
27,0.9119155858743992,2980946770832.7524,154,S2_panic_selling_defi,indonesia,USDC
28,0.9113386606309425,2977919250978.7725,154,S2_panic_selling_defi,indonesia,USDC
29,0.9392230160897519,2974992672852.0977,154,S2_panic_selling_defi,indonesia,USDC
30,0.9434966657343032,2973553789758.288,154,S2_panic_selling_defi,indonesia,USDC
31,0.9323059730745987,2972386745410.1865,154,S2_panic_selling_defi,indonesia,USDC
32,0.9246784897018068,2970742760316.3066,154,S2_panic_selling_defi,indonesia,USDC
33,0.9273341067349834,2968839379422.6875,154,S2_panic_selling_defi,indonesia,USDC
34,0.8999396832960807,2967091772196.43,154,S2_panic_selling_defi,indonesia,USDC
35,0.9093373431202288,2964430228477.8906,154,S2_panic_selling_defi,indonesia,USDC
36,0.9119763176899015,2962245314466.743,154,S2_panic_selling_defi,indonesia,USDC
37,0.9068512051084416,2960263093084.8286,154,S2_panic_selling_defi,indonesia,USDC
38,0.907885970722947,2958258755725.0327,154,S2_panic_selling_defi,indonesia,USDC
39,0.9416444462539081,2956415190432.325,154,S2_panic_selling_defi,indonesia,USDC
40,0.9474635530196511,2955660020473.705,154,S2_panic_selling_defi,indonesia,USDC
41,0.9686585666943811,2955068978349.374,154,S2_panic_selling_defi,indonesia,USDC
42,0.9723888358976733,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
43,0.9777575047860613,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
44,0.9750904294426914,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
45,0.9900252540096471,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
46,0.9840046763264191,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
47,1.0035734912509364,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
48,0.9776878645132285,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
49,0.9772445890226973,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
50,0.9759929540151021,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
51,0.9974202818929992,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
52,1.0350926700068643,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
53,1.0158012172077795,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
54,1.0101796981332738,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
55,1.0642045276946956,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
56,1.0641846887246198,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
57,1.0591483906322139,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
58,1.0834337115312749,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
59,1.0637811028640147,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
60,1.0417993600938555,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
61,1.0270584501778206,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
62,1.0084088121870713,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
63,0.9878629134226291,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
64,1.0000213382047385,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
65,1.0068182792241296,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
66,0.9983984805936612,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
67,0.9971606035161059,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
68,1.0001706870426625,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
69,1.0183752366296999,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
70,1.0331441037143347,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
71,1.0379616800387463,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
72,1.0606830559512874,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
73,1.037533810839688,2955040830519.173,154,S2_panic_selling_defi,indonesia,USDC
