Step,price,liquidity,iteration,scenario,region,coin
1,1.0097320081754766,6300000000000.0,512,S5_twin_shock_imf_bailout,eurozone,USDC
2,0.9841105608074877,6300000000000.0,512,S5_twin_shock_imf_bailout,eurozone,USDC
3,0.9869118584452188,6300000000000.0,512,S5_twin_shock_imf_bailout,eurozone,USDC
4,0.994949446815736,6300000000000.0,512,S5_twin_shock_imf_bailout,eurozone,USDC
5,1.0016644263299512,6300000000000.0,512,S5_twin_shock_imf_bailout,eurozone,USDC
6,0.9386376345575501,6300000000000.0,512,S5_twin_shock_imf_bailout,eurozone,USDC
7,0.9708224562761636,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
8,0.98362947166254,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
9,0.9823576322124895,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
10,1.0225032145284156,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
11,1.0096573388871608,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
12,1.0456004648846264,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
13,1.0344971322756191,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
14,1.0401135801327186,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
15,1.0241747809117792,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
16,1.0418715740633988,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
17,1.0428809581562335,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
18,1.0186572184295957,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
19,1.0288211564592993,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
20,1.0253631593843273,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
21,1.053613065781474,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
22,1.0524299762766103,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
23,1.0500585704146066,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
24,1.0385635077311335,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
25,1.0221962156619846,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
26,1.0304278343801039,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
27,1.0406889665585897,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
28,0.8784663586694138,6295959337315.576,512,S5_twin_shock_imf_bailout,eurozone,USDC
29,0.8902242220879546,6284450695832.318,512,S5_twin_shock_imf_bailout,eurozone,USDC
30,0.9127187845036933,6275366891522.061,512,S5_twin_shock_imf_bailout,eurozone,USDC
31,0.9276481381475098,6269491552448.514,512,S5_twin_shock_imf_bailout,eurozone,USDC
32,0.9282541824872872,6265322227667.711,512,S5_twin_shock_imf_bailout,eurozone,USDC
33,0.9571739610013941,6261524911122.516,512,S5_twin_shock_imf_bailout,eurozone,USDC
34,0.9527814266175745,6260446358991.931,512,S5_twin_shock_imf_bailout,eurozone,USDC
35,0.9764152629491766,6258970238534.281,512,S5_twin_shock_imf_bailout,eurozone,USDC
36,0.9390347302791959,6258970238534.281,512,S5_twin_shock_imf_bailout,eurozone,USDC
37,0.9309276037285533,6256295659355.206,512,S5_twin_shock_imf_bailout,eurozone,USDC
38,0.9438502260587889,6252980722640.003,512,S5_twin_shock_imf_bailout,eurozone,USDC
39,0.9688364675907926,6250851518472.221,512,S5_twin_shock_imf_bailout,eurozone,USDC
40,0.985233760679817,6250778526892.492,512,S5_twin_shock_imf_bailout,eurozone,USDC
41,0.9682667337715071,6250778526892.492,512,S5_twin_shock_imf_bailout,eurozone,USDC
42,0.9443135015142904,6250641333461.835,512,S5_twin_shock_imf_bailout,eurozone,USDC
43,0.9251680032512257,6248682472758.711,512,S5_twin_shock_imf_bailout,eurozone,USDC
44,0.9331506785336481,6245278296535.158,512,S5_twin_shock_imf_bailout,eurozone,USDC
45,0.9363670801267548,6242570505955.16,512,S5_twin_shock_imf_bailout,eurozone,USDC
46,0.9356790046759639,6240312399034.074,512,S5_twin_shock_imf_bailout,eurozone,USDC
