Step,price,liquidity,iteration,scenario,region,coin
1,1.0279609636601248,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
2,1.0353979711961128,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
3,1.0085472241630646,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
4,1.0109095689162202,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
5,1.0408933280853871,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
6,1.0369435269810798,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
7,1.0357399168605863,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
8,1.0638347063048652,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
9,1.0525668148103628,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
10,1.0537567497894453,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
11,1.0714646027670984,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
12,1.0620513457267236,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
13,1.0417410061848666,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
14,1.0174491549489761,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
15,1.026537118408883,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
16,1.0101571401152827,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
17,1.0254130399710832,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
18,1.0124174589212738,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
19,1.0241683319773098,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
20,1.0367788398854072,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
21,1.001703930807059,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
22,1.0025417841686766,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
23,0.9768250220795749,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
24,0.9617225504804293,2990238912757.6665,281,S3_twin_shock,indonesia,USDC
25,0.9472038865101879,2989765375043.1973,281,S3_twin_shock,indonesia,USDC
26,0.9608094113891639,2988366434847.416,281,S3_twin_shock,indonesia,USDC
27,0.9663914410757846,2987815686246.9067,281,S3_twin_shock,indonesia,USDC
28,0.9711840831072521,2987601491216.1826,281,S3_twin_shock,indonesia,USDC
29,0.9855814901231953,2987601491216.1826,281,S3_twin_shock,indonesia,USDC
